"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ModelVaccineDetails","ModelVaccineDetails","","","",0,*,"","","","null {[]} {[]}
","DVC - Vaccine Details","Vaccine Data elements for the Digital Vaccination Certificates","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ModelVaccineDetails.doseNumber","ModelVaccineDetails.doseNumber","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Dose Number","Dose Number","","","","","","","","","",,"required","","http://smart.who.int/icvp/ValueSet/doseNumber","",,,,"ModelVaccineDetails.doseNumber",1,1,"",""
"ModelVaccineDetails.disease","ModelVaccineDetails.disease","","","",1,1,"","","","Coding {[]} {[]}
","Disease","Name of disease or condition vaccinated or received prophylaxis against","","","","","","","","","",,"required","","http://smart.who.int/icvp/ValueSet/DiseaseTargeted","",,,,"ModelVaccineDetails.disease",1,1,"",""
"ModelVaccineDetails.vaccineClassification","ModelVaccineDetails.vaccineClassification","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Vaccine code","Vaccine or prophylaxis classification code","","","","","","","","","",,"required","","http://smart.who.int/icvp/ValueSet/DVCVaccines","",,,,"ModelVaccineDetails.vaccineClassification",1,1,"",""
"ModelVaccineDetails.vaccineTradeItem","ModelVaccineDetails.vaccineTradeItem","","","",0,1,"","","","Identifier {[]} {[]}
","vaccine trade item id","Vaccine trade item id","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.vaccineTradeItem",0,1,"",""
"ModelVaccineDetails.date","ModelVaccineDetails.date","","","",1,1,"","","","date {[]} {[]}
","Date","Date of vaccine","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.date",1,1,"",""
"ModelVaccineDetails.clinicianName","ModelVaccineDetails.clinicianName","","","",0,1,"","","","string {[]} {[]}
","Name of supervising clinician","Name of supervising clinician, or relevant authority responsible for issuing this certificate, or for overseeing the administering centre","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.clinicianName",0,1,"",""
"ModelVaccineDetails.issuer","ModelVaccineDetails.issuer","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Issuing Organization","Relevant authoring reponsible for issuing the certificate, or for overseeing the administration center","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.issuer",0,1,"",""
"ModelVaccineDetails.manufacturerId","ModelVaccineDetails.manufacturerId","","","",0,1,"","","","Identifier {[]} {[]}
","Manufacture ID","Manufacturer ID","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.manufacturerId",0,1,"",""
"ModelVaccineDetails.manufacturer","ModelVaccineDetails.manufacturer","","","",1,1,"","","","string {[]} {[]}
","Name of Manufacturer of vaccine","Name Manufacturer of vaccine","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.manufacturer",1,1,"",""
"ModelVaccineDetails.batchNo","ModelVaccineDetails.batchNo","","","",1,1,"","","","string {[]} {[]}
","Batch No","Batch No","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.batchNo",1,1,"",""
"ModelVaccineDetails.validityPeriod","ModelVaccineDetails.validityPeriod","","","",0,1,"","","","Period {[]} {[]}
","Certificate validity period","Certificate validity period","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.validityPeriod",0,1,"",""
