en,es,fr,ar,zh,ru
neutron,neutrón,neutron,نيوترون,中子,нейтрон
hydrogen,hidrógeno,hydrogène,هيدروجين,氢,водород
helium,helio,hélium,الهيليوم,氦,гелий
lithium,litio,lithium,الليثيوم,锂,литий
beryllium,berilio,béryllium,البريليوم,铍,бериллий
boron,boro,bore,البورون,硼,бор
carbon,carbón,carbone,كربون,碳,углерод
nitrogen,nitrógeno,azote,نتروجين,氮,азот
oxygen,oxígeno,oxygène,الأكسجين,氧,кислород
fluorine,flúor,fluor,الفلور,氟,фтор
neon,neón,néon,نيون,氖,неон
sodium,sodio,sodium,صوديوم,钠,натрий
magnesium,magnesio,magnésium,المغنيسيوم,镁,магний
aluminum,aluminio,aluminium,الألومنيوم,铝,алюминий
silicon,silicio,silicium,السيليكون,硅,кремний
phosphorus,fósforo,phosphore,الفوسفور,磷,фосфор
sulfur,azufre,soufre,كبريت,硫,сера
chlorine,cloro,chlore,الكلور,氯,хлор
argon,argón,argon,الأرجون,氩气,аргон
potassium,potasio,potassium,البوتاسيوم,钾,калий
calcium,calcio,calcium,الكالسيوم,钙,кальций
scandium,escandio,scandium,سكانديوم,钪,скандий
titanium,titanio,titane,التيتانيوم,钛,титан
vanadium,vanadio,vanadium,الفاناديوم,钒,ванадий
chromium,cromo,chrome,الكروم,铬,хром
manganese,manganeso,manganèse,المنغنيز,锰,марганец
iron,planchar,fer à repasser,حديد,铁,железо
cobalt,cobalto,cobalt,كوبالت,钴,кобальт
nickel,níquel,nickel,النيكل,镍,никель
copper,cobre,le cuivre,نحاس,铜,медь
zinc,zinc,zinc,الزنك,锌,цинк
gallium,galio,gallium,الغاليوم,镓,галлий
germanium,germanio,germanium,الجرمانيوم,锗,германий
arsenic,arsénico,arsenic,الزرنيخ,砷,мышьяк
selenium,selenio,sélénium,السيلينيوم,硒,селен
bromine,bromo,brome,البروم,溴,бром
krypton,criptón,krypton,الكريبتون,氪,криптон
rubidium,rubidio,rubidium,الروبيديوم,铷,рубидий
strontium,estroncio,strontium,السترونشيوم,锶,стронций
yttrium,itrio,yttrium,الإيتريوم,钇,иттрий
zirconium,circonio,zirconium,الزركونيوم,锆,цирконий
niobium,niobio,niobium,النيوبيوم,铌,ниобий
molybdenum,molibdeno,molybdène,الموليبدينوم,钼,молибден
technetium,tecnecio,technétium,التكنيشيوم,锝,технеций
ruthenium,rutenio,ruthénium,الروثينيوم,钌,рутений
