"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"COSE-Header","COSE_Header","COSE_Header","","","",0,*,"","","","null {[]} {[]}
","COSE Headers","Data elements for COSE Headers https://www.iana.org/assignments/cose/cose.xhtml#header-parameters","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"COSE-Header","COSE_Header.1","COSE_Header.1","","","",0,1,"","","","string {[]} {[]}
","Encryption Algorithm","alg(1)","","","","","","","","","",,,,,"",,,,"COSE_Header.1",0,1,"",""
"COSE-Header","COSE_Header.4","COSE_Header.4","","","",0,1,"","","","string {[]} {[]}
","Key ID used to verify the signature of the certificate","keyid (4)","","","","","","","","","",,,,,"",,,,"COSE_Header.4",0,1,"",""
"CWT-Payload","CWT_Payload","CWT_Payload","","","",0,*,"","","","null {[]} {[]}
","CWT Payload (Common)","Common feilds in DDCC CWT Payload https://www.iana.org/assignments/cwt/cwt.xhtml","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CWT-Payload","CWT_Payload.1","CWT_Payload.1","","","",0,1,"","","","Coding {[]} {[]}
","Issuer Code (iss)","Issuer","","","","","","","","","",,,,,"",,,,"CWT_Payload.1",0,1,"",""
"CWT-Payload","CWT_Payload.4","CWT_Payload.4","","","",0,1,"","","","dateTime {[]} {[]}
","Expiration Date Time(exp)","Expiration Time","","","","","","","","","",,,,,"",,,,"CWT_Payload.4",0,1,"",""
"CWT-Payload","CWT_Payload.6","CWT_Payload.6","","","",0,1,"","","","dateTime {[]} {[]}
","Issued At (iat)","Issued At","","","","","","","","","",,,,,"",,,,"CWT_Payload.6",0,1,"",""
"CWT-Payload","CWT_Payload.-260","CWT_Payload.-260","","","",0,1,"","","","http://smart.who.int/ddcc/StructureDefinition/HCertDCC {[]} {[]}
","Health Certificate","HCert","","","","","","","","","",,,,,"",,,,"CWT_Payload.-260",0,1,"",""
"CWT","CWT","CWT","","","",0,*,"","","","null {[]} {[]}
","CBOR Web Token (CWT) Claim","Data elements for CWT","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CWT","CWT.header","CWT.header","","","",0,1,"","","","http://smart.who.int/ddcc/StructureDefinition/COSE_Header {[]} {[]}
","COSE Header","Header","","","","","","","","","",,,,,"",,,,"CWT.header",0,1,"",""
"CWT","CWT.payload","CWT.payload","","","",0,1,"","","","http://smart.who.int/ddcc/StructureDefinition/CWT_Payload {[]} {[]}
","CWT Payload","Payload","","","","","","","","","",,,,,"",,,,"CWT.payload",0,1,"",""
"CWT","CWT.signature","CWT.signature","","","",0,1,"","","","string {[]} {[]}
","Signature","Signature","","","","","","","","","",,,,,"",,,,"CWT.signature",0,1,"",""
